#gene_symbol	NM_ID
A2M	NM_000014.4
SLC6A12	NM_003044.4
SLC6A13	NM_001190997.1
SLC6A14	NM_007231.3
SLC6A18	NM_182632.2
SLC6A19	NM_001003841.2
SLC6A2	NM_001043.3
SLC6A20	NM_020208.3
SLC6A3	NM_001044.4
SLC6A4	NM_001045.4
SLC6A5	NM_004211.3
SLC6A8	NM_005629.3
SLC7A1	NM_003045.4
SLC7A10	NM_019849.2
SLC7A2	NM_001008539.3
SLC7A5	NM_003486.5
SLC7A7	NM_001126106.1
SLC7A9	NM_014270.4
SLC8A1	NM_021097.2
SLC9A3R1	NM_004252.3
SLC9A6	NM_006359.2
slc9a6tv1	NM_001042537.1
SLC9A9	NM_173653.3
SLCO1A2	NM_021094.3
SLCO1B1	NM_006446.4
SLCO1B3	NM_019844.2
SLCO1C1	NM_001145944.1
SLCO2A1	NM_005630.2
SLCO2B1	NM_007256.4
SLFN5	NM_144975.3
SLITRK1	NM_052910.1
SLMAP	NM_007159.2
SLURP1	NM_020427.2
SLX4	NM_032444.2
SMAD1	NM_005900.2
SMAD3	NM_005902.3
SMAD4	NM_005359.5
SMAD6	NM_005585.4
SMAD7	NM_005904.3
SMAD9	NM_001127217.2
SMARCA2	NM_003070.3
SMARCA4	NM_001128849.1
SMARCAD1	NM_001128429.1
SMARCAL1	NM_014140.3
SMARCB1	NM_003073.3
SMARCC1	NM_003074.3
SMARCC2	NM_003075.3
SMARCE1	NM_003079.4
SMC1A	NM_006306.2
SMC1B	NM_148674.3
SMC3	NM_005445.3
SMC4	NM_005496.3
SMCHD1	NM_015295.2
SMG1	NM_015092.4
SMN1	NM_000344.3
SMN2	NM_017411.3
SMOC1	NM_001034852.2
SMOC2	NM_022138.2
SMPD1	NM_000543.4
SMPX	NM_014332.1
SMS	NM_004595.3
SMUG1	NM_014311.1
SMYD3	NM_022743.2
SNAI2	NM_003068.4
SNAP29	NM_004782.3
SNAPC4	NM_003086.2
SNAPC5	NM_006049.2
SNCA	NM_000345.3
SNCAIP	NM_005460.2
SNCB	NM_001001502.1
SNIP1	NM_024700.2
SNRK	NM_017719.4
SNRNP200	NM_014014.4
SNRPE	NM_003094.2
SNTA1	NM_003098.2
SNTG1	NM_018967.2
SNURF	NM_005678.3
SNX10	NM_001199835.1
SNX19	NM_014758.2
SOBP	NM_018013.3
SOCS1	NM_003745.1
SOCS3	NM_003955.3
SOD1	NM_000454.4
SOD2	NM_000636.2
SOD3	NM_003102.2
SOHLH1	NM_001101677.1
SORBS1	NM_001034954.1
SORCS1	NM_001013031.2
SORL1	NM_003105.5
SORT1	NM_002959.5
SOS1	NM_005633.3
SOST	NM_025237.2
SOSTDC1	NM_015464.2
SOX10	NM_006941.3
SOX17	NM_022454.3
SOX18	NM_018419.2
SOX2	NM_003106.3
SOX3	NM_005634.2
SOX6	NM_033326.3
SOX9	NM_000346.3
SP100	NM_001080391.1
SP110	NM_004509.3
SP7	NM_001173467.1
SPAG16	NM_024532.3
SPAG17	NM_206996.2
SPAST	NM_014946.3
SPATA13	NM_001166271.1
SPATA16	NM_031955.5
SPATA21	NM_198546.1
SPATA7	NM_018418.4
SPECC1L	NM_015330.2
SPG11	NM_025137.3
SPG20	NM_015087.4
SPG21	NM_016630.3
SPG7	NM_003119.2
SPI1	NM_001080547.1
SPINK1	NM_003122.3
SPINK5	NM_006846.3
SPINT2	NM_021102.3
SPP1	NM_001040058.1
SPP2	NM_006944.2
SPPL2C	NM_175882.2
SPR	NM_003124.4
SPRED1	NM_152594.2
SPRN	NM_001012508.3
SPRY2	NM_005842.2
SPRY3	NM_005840.1
SPTA1	NM_003126.2
SPTAN1	NM_001130438.2
SPTB	NM_000347.5
SPTBN2	NM_006946.2
SPTBN5	NM_016642.2
SPTLC1	NM_006415.2
SPTLC2	NM_004863.3
SQSTM1	NM_003900.4
SRCAP	NM_006662.2
SRD5A2	NM_000348.3
SRD5A3	NM_024592.4
SREBF1	NM_004176.4
SREBF2	NM_004599.2
SREK1	NM_001077199.1
SRGAP3	NM_014850.2
SRI	NM_003130.2
SRP72	NM_006947.3
SRPX2	NM_014467.2
SRR	NM_021947.1
SRY	NM_003140.1
SSH1	NM_018984.3
SSTR2	NM_001050.2
SSTR5	NM_001053.3
ST14	NM_021978.3
ST3GAL3	NM_006279.2
ST3GAL5	NM_003896.3
ST8SIA2	NM_006011.3
STAG1	NM_005862.2
STAR	NM_000349.2
STAT1	NM_007315.3
STAT2	NM_005419.3
STAT3	NM_139276.2
STAT4	NM_003151.2
STAT5B	NM_012448.3
STAT6	NM_003153.4
STEAP3	NM_001008410.1
STEAP4	NM_024636.3
STH	NM_001007532.2
STIL	NM_003035.2
STIM1	NM_003156.3
STK10	NM_005990.3
STK11	NM_000455.4
STK19	NM_032454.1
STK32A	NM_001112724.1
STK33	NM_030906.2
STK39	NM_013233.2
STK4	NM_006282.2
STMN1	NM_203401.1
STON2	NM_001256430.1
STOX1	NM_152709.4
STRA6	NM_022369.3
STRC	NM_153700.2
STS	NM_000351.4
STX11	NM_003764.3
STX1A	NM_004603.3
STXBP1	NM_003165.3
STXBP2	NM_006949.2
STXBP3	NM_007269.2
STXBP4	NM_178509.5
STXBP5	NM_001127715.2
SUCLA2	NM_003850.2
SUCLG1	NM_003849.3
SUFU	NM_016169.3
SULT1A1	NM_001055.2
SULT1A3	NM_177552.3
SULT1C2	NM_001056.3
SULT1E1	NM_005420.2
SULT2A1	NM_003167.3
SULT2B1	NM_177973.1
SULT4A1	NM_014351.3
SUMF1	NM_182760.3
SUMO4	NM_001002255.1
SUN2	NM_015374.2
SUOX	NM_000456.2
SUPT16H	NM_007192.3
SURF1	NM_003172.2
SUV420H1	NM_017635.3
SV2B	NM_014848.4
SVIL	NM_003174.3
SYCP3	NM_153694.4
SYN1	NM_133499.2
SYN3	NM_003490.3
SYNCRIP	NM_001159673.1
SYNE1	NM_033071.3
SYNE2	NM_182914.2
SYNGAP1	NM_006772.2
SYNGR1	NM_004711.4
syngr1c	NM_145738.2
SYNM	NM_145728.2
SYNPO	NM_007286.5
SYP	NM_003179.2
SYT14	NM_001146261.1
SYTL3	NM_001009991.3
SYTL5	NM_138780.2
T	NM_003181.2
TAAR9	NM_175057.3
TAB2	NM_015093.4
TAC3	NM_013251.3
TACO1	NM_016360.3
TACR3	NM_001059.2
TACSTD2	NM_002353.2
TAF15	NM_139215.1
TAF1C	NM_005679.2
TAF1L	NM_153809.2
TAF2	NM_003184.3
TAF7L	NM_024885.3
TAGAP	NM_054114.3
TALDO1	NM_006755.1
TANC2	NM_025185.3
TAP1	NM_000593.5
TAP2	NM_000544.3
TAPBP	NM_003190.4
TARDBP	NM_007375.3
TAS1R1	NM_138697.3
TAS1R2	NM_152232.2
TAS1R3	NM_152228.1
TAS2R16	NM_016945.2
TAS2R19	NM_176888.1
TAS2R3	NM_016943.2
TAS2R31	NM_176885.2
TAS2R38	NM_176817.4
TAS2R43	NM_176884.2
TAS2R45	NM_176886.1
TAS2R46	NM_176887.2
TAS2R50	NM_176890.2
TAS2R9	NM_023917.2
TAT	NM_000353.2
TAZ	NM_000116.3
TBC1D1	NM_015173.2
TBC1D23	NM_001199198.1
TBC1D24	NM_020705.2
TBC1D4	NM_014832.2
TBCE	NM_003193.3
TBK1	NM_013254.3
TBL1XR1	NM_024665.4
TBL1Y	NM_033284.1
TBR1	NM_006593.2
TBX1	NM_080647.1
TBX10	NM_005995.4
TBX15	NM_152380.2
TBX18	NM_001080508.1
TBX19	NM_005149.2
TBX20	NM_001077653.2
TBX21	NM_013351.1
TBX22	NM_001109878.1
TBX3	NM_005996.3
TBX4	NM_018488.2
TBX5	NM_000192.3
TBXA2R	NM_001060.5
tbxa2re	NM_201636.2
TBXAS1	NM_001061.4
TCAP	NM_003673.3
TCF21	NM_198392.2
TCF3	NM_003200.2
TCF4	NM_001083962.1
TCF7L1	NM_031283.2
TCF7L2	NM_030756.4
TCIRG1	NM_006019.3
TCN1	NM_001062.3
TCN2	NM_000355.3
TCOF1	NM_001135243.1
TCP1	NM_030752.2
TCTE1	NM_182539.3
TCTN1	NM_001082538.2
TCTN2	NM_024809.3
TCTN3	NM_015631.5
TDGF1	NM_003212.3
TDO2	NM_005651.2
TDP1	NM_018319.3
TDRD7	NM_014290.2
TEAD1	NM_021961.5
TECPR2	NM_014844.3
TECR	NM_138501.5
TECTA	NM_005422.2
TEK	NM_000459.3
TEKT2	NM_014466.2
TENM3	NM_001080477.1
TENM4	NM_001098816.2
TEP1	NM_007110.4
TERT	NM_198253.2
TET1	NM_030625.2
TET2	NM_017628.4
TEX14	NM_198393.3
TF	NM_001063.3
TFAM	NM_003201.1
TFAP2A	NM_003220.2
TFAP2B	NM_003221.3
TFB1M	NM_016020.3
TFCP2	NM_005653.4
TFF1	NM_003225.2
TFG	NM_006070.5
TFPI	NM_006287.4
TFR2	NM_003227.3
TFRC	NM_003234.2
TG	NM_003235.4
TGFB1	NM_000660.4
TGFB2	NM_003238.3
TGFB3	NM_003239.2
TGFBI	NM_000358.2
TGFBR1	NM_004612.2
TGFBR2	NM_003242.5
tgfbr2a	NM_001024847.2
TGFBR3	NM_003243.4
TGFBRAP1	NM_004257.4
TGIF1	NM_173208.1
TGM1	NM_000359.2
TGM2	NM_004613.2
TGM5	NM_201631.3
TGM6	NM_198994.2
TH	NM_000360.3
THADA	NM_022065.4
THAP1	NM_018105.2
THBD	NM_000361.2
THBS1	NM_003246.2
THBS2	NM_003247.2
THBS4	NM_003248.4
THPO	NM_000460.2
THRA	NM_199334.3
THRB	NM_000461.4
THSD7A	NM_015204.2
TICAM1	NM_182919.2
TIMM44	NM_006351.3
TIMM8A	NM_004085.3
TIMP1	NM_003254.2
TIMP2	NM_003255.4
TIMP3	NM_000362.4
TINF2	NM_001099274.1
TIRAP	NM_148910.2
TJP2	NM_004817.3
TK2	NM_004614.4
TLK1	NM_012290.4
TLL1	NM_012464.4
TLR1	NM_003263.3
TLR10	NM_030956.3
TLR2	NM_003264.3
TLR3	NM_003265.2
TLR4	NM_138554.3
TLR5	NM_003268.5
TLR6	NM_006068.4
TLR7	NM_016562.3
TLR8	NM_138636.4
TLR9	NM_017442.3
TM4SF19	NM_138461.3
TMC1	NM_138691.2
TMC6	NM_007267.6
TMC8	NM_152468.4
TMCO1	NM_019026.3
TMEM126A	NM_032273.3
TMEM127	NM_017849.3
TMEM132D	NM_133448.2
TMEM135	NM_022918.3
TMEM138	NM_016464.4
TMEM165	NM_018475.3
TMEM173	NM_198282.2
TMEM187	NM_003492.2
TMEM2	NM_013390.2
TMEM216	NM_001173990.2
TMEM22	NM_001097599.1
TMEM231	NM_001077416.1
TMEM237	NM_001044385.1
TMEM39A	NM_018266.1
TMEM43	NM_024334.2
TMEM5	NM_014254.1
TMEM67	NM_153704.5
TMEM70	NM_017866.5
TMEM85	NM_016454.2
TMEM8A	NM_021259.2
TMEM9	NM_016456.3
TMIE	NM_147196.2
TMLHE	NM_018196.3
TMPO	NM_003276.2
TMPRSS11A	NM_182606.3
TMPRSS15	NM_002772.2
TMPRSS3	NM_024022.2
TMPRSS5	NM_030770.2
TMPRSS6	NM_153609.2
TNC	NM_002160.2
TNF	NM_000594.2
TNFAIP2	NM_006291.2
TNFAIP3	NM_006290.2
TNFRSF10A	NM_003844.3
TNFRSF10B	NM_147187.2
TNFRSF11A	NM_003839.2
TNFRSF11B	NM_002546.3
TNFRSF13B	NM_012452.2
TNFRSF13C	NM_052945.3
TNFRSF14	NM_003820.2
TNFRSF1A	NM_001065.3
TNFRSF1B	NM_001066.2
TNFRSF4	NM_003327.3
TNFSF10	NM_003810.3
TNFSF11	NM_003701.3
TNFSF13	NM_003808.3
TNFSF13B	NM_006573.4
TNFSF14	NM_003807.3
TNFSF15	NM_005118.3
TNFSF4	NM_003326.3
TNFSF8	NM_001244.2
TNKS	NM_003747.2
TNNC1	NM_003280.2
TNNI2	NM_003282.3
TNNI3	NM_000363.4
TNNI3K	NM_015978.2
TNNT1	NM_003283.4
TNNT2	NM_001001430.1
tnnt2i1	NM_000364.2
TNNT3	NM_006757.3
TNP1	NM_003284.3
TNPO2	NM_001136196.1
TNR	NM_003285.2
TNXB	NM_019105.6
TOMM40	NM_006114.2
TOP1	NM_003286.2
TOP1MT	NM_052963.1
TOPBP1	NM_007027.3
TOPORS	NM_005802.4
TOR1A	NM_000113.2
TOX3	NM_001080430.2
TP53	NM_000546.4
TP53AIP1	NM_022112.2
TP53BP1	NM_005657.2
TP53RK	NM_033550.3
TP63	NM_003722.4
tp63dn	NM_001114980.1
TPCN2	NM_139075.3
TPH1	NM_004179.2
TPH2	NM_173353.3
TPI1	NM_000365.5
TPK1	NM_022445.3
TPM1	NM_001018005.1
TPM2	NM_003289.3
TPM3	NM_152263.2
TPMT	NM_000367.2
TPO	NM_000547.5
TPP1	NM_000391.3
TPP2	NM_003291.2
TPRN	NM_001128228.2
TPTE	NM_199261.2
TRADD	NM_003789.3
TRAF3	NM_003300.3
TRAF3IP1	NM_015650.3
TRAF3IP2	NM_147686.2
TRAF6	NM_145803.2
TRAF7	NM_032271.2
TRAK2	NM_015049.2
TRAPPC2	NM_001011658.3
TRAPPC9	NM_031466.5
TRDN	NM_006073.2
TREM2	NM_018965.2
TRERF1	NM_033502.2
TREX1	NM_033629.2
TRHR	NM_003301.4
TRIB1	NM_025195.2
TRIB3	NM_021158.3
TRIM17	NM_016102.3
TRIM21	NM_003141.3
TRIM22	NM_006074.4
TRIM32	NM_012210.3
TRIM37	NM_015294.3
TRIM5	NM_033034.2
TRIM58	NM_015431.3
TRIM63	NM_032588.2
TRIO	NM_007118.2
TRIOBP	NM_001039141.2
TRIP11	NM_004239.3
TRIP12	NM_004238.1
TRMT44	NM_152544.2
TRMU	NM_018006.4
TROAP	NM_005480.3
TROVE2	NM_001042369.2
TRPA1	NM_007332.2
TRPC3	NM_001130698.1
TRPC4	NM_016179.2
TRPC5	NM_012471.2
TRPC6	NM_004621.5
TRPM1	NM_002420.4
TRPM2	NM_003307.3
TRPM4	NM_017636.3
TRPM6	NM_017662.4
TRPM7	NM_017672.4
TRPS1	NM_014112.2
TRPV1	NM_080706.3
TRPV3	NM_145068.2
TRPV4	NM_021625.4
TRPV5	NM_019841.4
TRRAP	NM_003496.2
TSC1	NM_000368.4
TSC2	NM_000548.3
TSEN2	NM_025265.3
TSEN34	NM_024075.3
TSEN54	NM_207346.2
TSFM	NM_001172696.1
TSGA13	NM_052933.2
TSHB	NM_000549.3
TSHR	NM_000369.2
TSHZ1	NM_005786.4
TSLP	NM_033035.4
TSPAN12	NM_012338.3
TSPAN17	NM_012171.2
TSPAN7	NM_004615.3
TSPEAR	NM_144991.2
TSPO	NM_000714.4
TSPYL1	NM_003309.3
TSSC4	NM_005706.2
TSSK2	NM_053006.4
TSSK3	NM_052841.3
TSSK4	NM_174944.3
TST	NM_003312.4
TTBK2	NM_173500.3
TTC19	NM_017775.3
TTC21B	NM_024753.3
TTC37	NM_014639.3
TTC8	NM_198309.2
ttc8r	NM_144596.2
TTF2	NM_003594.3
TTI2	NM_001102401.1
TTN	NM_133378.4
ttnltv	NM_001256850.1
ttntvn2b	NM_003319.4
TTPA	NM_000370.3
TTR	NM_000371.3
TUBA1A	NM_006009.2
TUBA8	NM_018943.2
TUBAL3	NM_024803.2
TUBB	NM_178014.2
TUBB1	NM_030773.3
TUBB2B	NM_178012.4
TUBB3	NM_006086.3
TUBGCP4	NM_014444.2
TUBGCP5	NM_052903.4
TUBGCP6	NM_020461.3
TUFM	NM_003321.4
TULP1	NM_003322.3
TUSC3	NM_006765.3
TWIST1	NM_000474.3
TWIST2	NM_057179.2
TXNRD2	NM_006440.3
TYK2	NM_003331.4
TYMP	NM_001953.3
TYMS	NM_001071.2
TYR	NM_000372.4
TYROBP	NM_003332.3
TYRP1	NM_000550.2
u2hr	u2hr.1
UBA1	NM_003334.3
UBA3	NM_003968.3
UBAC2	NM_001144072.1
UBD	NM_006398.3
UBE2A	NM_003336.2
UBE2B	NM_003337.2
UBE2I	NM_003345.3
UBE2NL	NM_001012989.1
UBE3A	NM_130838.1
ube3ai3	NM_130839.2
UBE3B	NM_130466.2
UBE3C	NM_014671.2
UBIAD1	NM_013319.2
UBN2	NM_173569.3
UBQLN1	NM_013438.4
UBQLN2	NM_013444.3
UBR1	NM_174916.2
UBR3	NM_172070.3
UBR5	NM_015902.5
UBR7	NM_175748.3
UBXN6	NM_025241.2
UCHL1	NM_004181.4
UCMA	NM_145314.1
UCP1	NM_021833.4
UCP2	NM_003355.2
UCP3	NM_003356.3
UGDH	NM_003359.3
UGT1A1	NM_000463.2
UGT1A10	NM_019075.2
UGT1A3	NM_019093.2
UGT1A4	NM_007120.2
UGT1A5	NM_019078.1
UGT1A6	NM_001072.3
UGT1A7	NM_019077.2
UGT1A8	NM_019076.4
UGT1A9	NM_021027.2
UGT2A1	NM_006798.2
UGT2A3	NM_024743.3
UGT2B10	NM_001075.4
UGT2B15	NM_001076.2
UGT2B17	NM_001077.3
UGT2B7	NM_001074.2
UGT8	NM_001128174.1
UHRF1BP1	NM_017754.3
UIMC1	NM_016290.4
UMOD	NM_003361.2
UMPS	NM_000373.3
UNC119	NM_005148.3
UNC13A	NM_001080421.2
UNC13D	NM_199242.2
UNC5C	NM_003728.3
UNC5CL	NM_173561.2
UNC80	NM_032504.1
UNC93A	NM_018974.3
UNG	NM_080911.2
UNKL	NM_001193388.1
UPB1	NM_016327.2
UPF3B	NM_080632.2
UPK3A	NM_006953.3
UQCRB	NM_006294.3
UQCRQ	NM_014402.4
UROC1	NM_144639.2
UROD	NM_000374.4
UROS	NM_000375.2
USF1	NM_007122.3
USH1C	NM_005709.3
ush1cpst	NM_153676.3
USH1G	NM_173477.2
USH2A	NM_206933.2
USP24	NM_015306.2
USP26	NM_031907.1
USP46	NM_022832.3
USP9X	NM_001039590.2
USP9Y	NM_004654.3
UTF1	NM_003577.2
UTS2	NM_021995.2
UVSSA	NM_020894.2
VAMP1	NM_014231.3
VAMP7	NM_005638.5
VANGL1	NM_138959.2
VANGL2	NM_020335.2
VAPB	NM_004738.4
VAV3	NM_006113.4
VAX1	NM_001112704.1
VCAM1	NM_001078.3
VCAN	NM_004385.4
VCL	NM_014000.2
VCP	NM_007126.3
VDR	NM_001017535.1
VEGFA	NM_001025366.2
VHL	NM_000551.3
VIM	NM_003380.3
VIP	NM_003381.2
VIPAR	NM_022067.3
VKORC1	NM_024006.4
VLDLR	NM_003383.3
VMA21	NM_001017980.3
VNN1	NM_004666.2
VPS13A	NM_033305.2
VPS13B	NM_017890.3
VPS33B	NM_018668.3
VPS35	NM_018206.4
VPS37A	NM_152415.2
VPS39	NM_015289.2
VRK1	NM_003384.2
VSIG4	NM_007268.2
VSX1	NM_014588.4
VSX2	NM_182894.2
VTN	NM_000638.3
VWF	NM_000552.3
WAC	NM_016628.3
WAS	NM_000377.2
WDFY3	NM_014991.4
WDFY4	NM_020945.1
WDPCP	NM_015910.5
WDR11	NM_018117.11
WDR19	NM_025132.3
WDR35	NM_001006657.1
WDR36	NM_139281.2
WDR4	NM_033661.3
WDR45	NM_007075.3
WDR45L	NM_019613.3
WDR62	NM_001083961.1
WDR65	NM_152498.3
WDR66	NM_144668.4
WDR72	NM_182758.2
WDR81	NM_001163809.1
WFS1	NM_006005.3
WIPF1	NM_001077269.1
WISP3	NM_003880.3
WNK1	NM_018979.3
wnk1tv3	NM_213655.4
WNK4	NM_032387.4
WNT10A	NM_025216.2
WNT10B	NM_003394.3
WNT16	NM_057168.1
WNT3	NM_030753.3
WNT3A	NM_033131.3
WNT4	NM_030761.4
WNT5A	NM_003392.3
WNT5B	NM_032642.2
WNT7A	NM_004625.3
WRAP53	NM_018081.2
WRN	NM_000553.4
WT1	NM_024426.4
WWC1	NM_015238.2
WWOX	NM_016373.2
wwoxtv2	NM_130791.2
XBP1	NM_005080.3
XDH	NM_000379.3
XIAP	NM_001167.3
XK	NM_021083.2
XPA	NM_000380.3
XPC	NM_004628.4
XPNPEP2	NM_003399.5
XPNPEP3	NM_022098.3
XPO5	NM_020750.2
XRCC1	NM_006297.2
XRCC2	NM_005431.1
XRCC3	NM_005432.3
XRCC4	NM_022406.2
XRCC6	NM_001469.3
XYLT1	NM_022166.3
XYLT2	NM_022167.2
YAP1	NM_001130145.2
YARS	NM_003680.3
YARS2	NM_001040436.2
YBX2	NM_015982.3
YDJC	NM_001017964.1
YLPM1	NM_019589.2
YWHAE	NM_006761.4
YY1	NM_003403.3
ZAN	NM_003386.1
ZAP70	NM_001079.3
ZBTB16	NM_006006.4
ZBTB24	NM_014797.2
ZBTB40	NM_001083621.1
ZBTB41	NM_194314.2
ZC3H14	NM_024824.4
ZC3H3	NM_015117.2
ZC3HAV1	NM_020119.3
ZCCHC12	NM_173798.2
ZCCHC13	NM_203303.2
ZCCHC8	NM_017612.3
ZDHHC8	NM_013373.3
ZDHHC9	NM_016032.3
ZEB1	NM_030751.5
ZEB2	NM_014795.3
ZFAT	NM_020863.3
ZFP36	NM_003407.2
ZFP36L1	NM_004926.2
ZFP57	NM_001109809.2
ZFPM2	NM_012082.3
ZFYVE26	NM_015346.3
ZFYVE27	NM_001002261.3
ZHX3	NM_015035.3
ZIC2	NM_007129.3
ZIC3	NM_003413.3
ZKSCAN5	NM_014569.3
ZMPSTE24	NM_005857.3
ZMYM2	NM_003453.3
ZMYM6	NM_007167.3
ZMYND11	NM_006624.5
ZNF141	NM_003441.2
ZNF202	NM_003455.2
ZNF213	NM_004220.2
ZNF224	NM_013398.2
ZNF233	NM_181756.2
ZNF238	NM_006352.3
ZNF24	NM_006965.2
ZNF292	NM_015021.1
ZNF311	NM_001010877.2
ZNF335	NM_022095.3
ZNF350	NM_021632.3
ZNF365	NM_199452.3
ZNF407	NM_017757.2
ZNF41	NM_153380.2
ZNF420	NM_144689.3
ZNF423	NM_015069.2
ZNF451	NM_001031623.2
ZNF469	NM_001127464.1
ZNF480	NM_144684.2
ZNF512B	NM_020713.1
ZNF513	NM_144631.5
ZNF526	NM_133444.1
ZNF534	NM_001143939.1
ZNF544	NM_014480.2
ZNF577	NM_032679.2
ZNF592	NM_014630.2
ZNF600	NM_198457.2
ZNF624	NM_020787.3
ZNF627	NM_145295.3
ZNF638	NM_014497.3
ZNF642	NM_198494.2
ZNF644	NM_201269.1
ZNF674	NM_001039891.2
ZNF711	NM_021998.4
ZNF717	NM_001128223.1
ZNF750	NM_024702.2
ZNF75D	NM_007131.3
ZNF799	NM_001080821.2
ZNF80	NM_007136.3
ZNF804A	NM_194250.1
ZNF81	NM_007137.3
ZNF813	NM_001004301.3
ZPBP	NM_007009.2
ZPBP2	NM_199321.2
